CollectionType,Version,RuleID,Severity,ErrorMessage,SeverityFIS
ILR1819,2,Inconsistent UKPRN,E,The UKPRN in the file name does not match the provider's UKPRN in the Hub,E
ILR1819,2,Namespace Mismatch,E,ILR submissions must use the correct namespace,E
ILR1819,2,Entity_1,E,There are no valid learners in either the Learner record or the Learner Destination and Progression record,E
ILR1819,2,Filename_1,E,The filename is not in the correct format,E
ILR1819,2,Filename_2,E,"A file with the same UKPRN, collection year and date/time combination has been received before",E
ILR1819,2,Filename_4,E,The UKPRN is not valid,E
ILR1819,2,Filename_5,E,The year of collection is not the current year,E
ILR1819,2,Filename_6,E,The serial number is not a 2 digit number,E
ILR1819,2,Filename_7,E,The serial number must not be 00,E
ILR1819,2,Filename_8,E,The file date/time is after today's date/time,E
ILR1819,2,Filename_9,E,The date/time of the file is earlier than a previous transmission for this collection,E
ILR1819,2,Header_2,E,The file preparation date is after today's date,E
ILR1819,2,Header_3,E,The UKPRN in the filename does not match the UKPRN in the Header,E
ILR1819,2,UKPRN_03,E,The UKPRN is not the same as recorded in the Header,E
ILR1819,2,UKPRN_05,E,There is no ESF funding relationship for this UKPRN,E
ILR1819,2,UKPRN_06,E,There is no Adult skills funding relationship for this UKPRN,E
ILR1819,2,UKPRN_08,E,There is no Advanced Learner Loans Bursary funding relationship for this UKPRN,E
ILR1819,2,UKPRN_09,E,There is no apprenticeship funding relationship for this UKPRN,E
ILR1819,2,UKPRN_10,E,There is no apprenticeship funding relationship for this UKPRN,E
ILR1819,2,UKPRN_11,E,There is no apprenticeship funding relationship for this UKPRN,E
ILR1819,2,UKPRN_12,E,There is no Adult skills funding relationship for this UKPRN,E
ILR1819,2,UKPRN_13,E,There is no apprenticeship funding relationship for this UKPRN,E
ILR1819,2,UKPRN_14,E,There is no apprenticeship funding relationship for this UKPRN,E
ILR1819,2,UKPRN_15,E,There is no apprenticeship funding relationship for this UKPRN,E
ILR1819,2,PrevUKPRN_01,E,The UKPRN is not valid,E
ILR1819,2,PMUKPRN_01,E,The UKPRN is not valid,E
ILR1819,2,CampId_01,E,The Campus identifier is not valid,E
ILR1819,2,CampId_02,E,The UKPRN is not the same as recorded in the Header,E
ILR1819,2,ULN_02,W,This Unique learner number should not be used,W
